,count,mean,std,min,25%,50%,75%,max
BLDG_N_Window,3000096.0,142.28567917639674,212.4018209703738,0.0,0.0,41.43848688,212.28815999999995,1665.0494784000007
BLDG_NetConditionedBuildingArea,3000096.0,141.71204557454172,74.56388541423857,20.26,83.3,126.6,189.31,385.38
BLDG_S_ParExt,3000096.0,483.161318663195,388.7022273216444,0.0,193.57949999999997,429.62400000000014,708.6960000000001,1994.8991039999994
BLDG_S_ParInt,3000096.0,776.6019363229816,528.279523820665,56.611140000000006,409.3344,639.1403760000002,987.4877759999997,3615.046343999998
BLDG_S_Window,3000096.0,140.5482587724565,209.6864456299187,0.0,0.0,41.348819999999996,208.27628090999997,1622.244532680001
BLDG_TotalBuildingAreaNaoCondicionada,3000096.0,31.776436474032835,23.31055077467836,1.8599999999999997,13.630000000000004,24.990000000000002,44.37000000000001,114.23000000000002
BLDG_W_ParExt,3000096.0,483.60568686531695,388.6640276975555,0.0,194.07239999999996,430.4856000000001,710.4979980000002,2008.332768
BLDG_W_ParInt,3000096.0,775.8208375227991,528.5727104186744,59.77583999999998,407.79100800000015,638.6016000000002,989.5239719999997,3627.136799999999
BLDG_W_Window,3000096.0,141.62789254085584,211.27882814483124,0.0,0.0,41.31456000000002,213.7045478400001,1544.3042688000005
CARAC_ambiente_0,3000096.0,0.3333333333333333,0.47140459935595747,0.0,0.0,0.0,1.0,1.0
CARAC_ambiente_1,3000096.0,0.6666666666666666,0.4714045993559574,0.0,0.0,1.0,1.0,1.0
CARAC_condicoes_0,3000096.0,0.20000959969280982,0.40000726625537203,0.0,0.0,0.0,0.0,1.0
CARAC_condicoes_1,3000096.0,0.20000959969280982,0.40000726625537203,0.0,0.0,0.0,0.0,1.0
CARAC_condicoes_2,3000096.0,0.20000959969280982,0.40000726625537203,0.0,0.0,0.0,0.0,1.0
CARAC_condicoes_3,3000096.0,0.3999712009215705,0.4898921507336831,0.0,0.0,0.0,1.0,1.0
CLIMA_TBSm,3000096.0,21.472838749160026,4.569352602835953,10.83,19.24,21.87,25.01,29.52
CLIMA_TOMax_26,3000096.0,0.7475520783334934,0.43441688666160916,0.0,0.0,1.0,1.0,1.0
CLIMA_TOMax_28,3000096.0,0.16733464529135067,0.37327444088724443,0.0,0.0,0.0,0.0,1.0
CLIMA_TOMax_30,3000096.0,0.08511327637515599,0.2790502329605835,0.0,0.0,0.0,0.0,1.0
CLIMA_dbt_dia_25p,3000096.0,21.00923473448851,5.311651400468371,6.1,18.08,21.8,25.0,33.78
CLIMA_dbt_dia_50p,3000096.0,23.496773553246303,5.420598709461273,8.1,20.35,24.2,27.7,36.0
CLIMA_dbt_dia_75p,3000096.0,25.691558800118408,5.295649226006965,10.85,22.1,26.7,29.63,37.4
CLIMA_dbt_dia_max,3000096.0,29.93995372148092,4.914831344284906,14.7,26.4,30.4,33.8,57.0
CLIMA_dbt_dia_mean,3000096.0,23.298051022367297,5.188485013331742,8.95,20.27,24.03,27.27,35.39
CLIMA_dbt_dia_min,3000096.0,15.229421858500528,6.183790744873985,-5.7,10.6,16.7,19.9,28.7
CLIMA_dbt_dia_std,3000096.0,3.1308631323797647,1.1333434091136543,0.85,2.38,2.98,3.74,8.96
CLIMA_dbt_noite_25p,3000096.0,18.21713305174234,5.29696139760742,1.6,14.7,19.1,22.0,30.3
CLIMA_dbt_noite_50p,3000096.0,19.736404835045263,4.860783885884642,6.75,16.6,20.1,23.4,31.8
CLIMA_dbt_noite_75p,3000096.0,21.247634445697738,4.648925499078012,8.8,18.4,21.83,24.9,32.9
CLIMA_dbt_noite_max,3000096.0,25.645162754791848,4.828234954063332,12.1,22.2,26.0,29.0,41.2
